Canton,Country,People,CantonLanguage,CountryLanguage,Colour
Aargau,Afghanistan,46,German,Pashto,ff0880
Aargau,Albania,9,German,Albanian,ff0000
Aargau,Algeria,1,German,Arabic,fffd06
Aargau,Argentina,10,German,Spanish,68ffcb
Aargau,Armenia,1,German,Armenian,25ff04
Aargau,Australia,14,German,English,68ED7C
Aargau,Austria,206,German,German,68ffcb
Aargau,Bangladesh,7,German,Bengali,0406ff
Aargau,Belarus,5,German,Russian,68ED7C
Aargau,Belgium,29,German,Dutch,fffd66
Aargau,Bolivia,2,German,Spanish,68ffcb
Aargau,Bosnia and Herzegovina,63,German,Croatian,9900ff
Aargau,Brazil,72,German,Portuguese,0406ff
Aargau,Bulgaria,50,German,Bulgarian,0406ff
Aargau,Burkina Faso,1,German,French,f26aff
Aargau,Cambodia,4,German,Khmer,ffc668
Aargau,Cameroon,4,German,English,68ED7C
Aargau,Canada,17,German,English,68ED7C
Aargau,Chile,6,German,Spanish,68ffcb
Aargau,Colombia,14,German,Spanish,68ffcb
Aargau,Congo,4,German,French,f26aff
Aargau,Costa Rica,2,German,Spanish,68ffcb
Aargau,Côte d'Ivoire,1,German,French,f26aff
Aargau,Croatia,52,German,Albanian,ff0000
Aargau,Cuba,4,German,Spanish,68ffcb
Aargau,Cyprus,4,German,Greek,c45dff
Aargau,Czech Republic,68,German,Czech,ff0880
Aargau,Denmark,24,German,Danish,ff4743
Aargau,Dominican Republic,31,German,Spanish,68ffcb
Aargau,Ecuador,8,German,Spanish,68ffcb
Aargau,Egypt,17,German,Arabic,fffd06
Aargau,El Salvador,2,German,Spanish,68ffcb
Aargau,Eritrea,128,German,Arabic,fffd06
Aargau,Estonia,5,German,Estonian,6cd8ed
Aargau,Finland,22,German,Finnish,7677ff
Aargau,France,115,German,French,f26aff
Aargau,Gambia,1,German,English,68ED7C
Aargau,Georgia,4,German,Georgian,ffad61
Aargau,Germany,2446,German,German,68ffcb
Aargau,Ghana,3,German,English,68ED7C
Aargau,Greece,69,German,Greek,c45dff
Aargau,Guatemala,2,German,Spanish,68ffcb
Aargau,Guinea,3,German,French,f26aff
Aargau,Haiti,1,German,French,f26aff
Aargau,Honduras,1,German,Spanish,68ffcb
Aargau,Hungary,373,German,Hungarian,fbffa1
Aargau,India,93,German,Hindi,ff908e
Aargau,Indonesia,7,German,Indonesian,99eaff
Aargau,Iran,11,German,Persian,ff4743
Aargau,Iraq,9,German,Arabic,fffd06
Aargau,Ireland,12,German,English,68ED7C
